Name,Previous_Part,Participation1,Mini_Exam1,Mini_Exam2,Participation2,Mini_Exam3,Final,Grade
Jake,32,1,19.5,20,1,10,33,A
Joe,32,1,20,16,1,14,32,A
Susan,30,1,19,19,1,10.5,33,A-
Sol,31,1,22,13,1,13,34,A
Chris,30,1,19,17,1,12.5,33.5,A
Tarik,31,1,19,19,1,8,24,B
Malik,31.5,1,20,21,1,9,36,A
John,28.5,1,20,18,1,10,32,B+
Ronaldo,33,1,20,20,1,17,42,A+
Messi,30.5,1,17,18,1,9,37,A-
Michael,29,1,20,20,1,14,30,A
Jimmy,27.5,0,7,13,1,5.5,31,B-
Charlie,32,1,20,17,1,11,34,A
Jennifer,28.5,1,19,18,1,10,32,B+
Chrinstine,29,1,13,15.5,1,9,31,B
Josh,23.5,1,17,12,1,8.5,23,C+
Jackson,28,1,18,15.5,1,7,31,B
Vik,31.5,1,15,19,1,13,35,A
Sarah,22,1,18,13,1,9,21,C+
